"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 07, 2018","43,441.18","43,712.63","43,724.56","43,416.45","45.53K","-0.60%"
"Mar 06, 2018","43,705.10","43,852.32","44,044.01","43,660.46","61.33K","-0.28%"
"Mar 05, 2018","43,829.07","43,797.53","43,875.00","43,654.69","44.75K","0.20%"
"Mar 02, 2018","43,740.49","43,567.18","43,759.13","43,412.47","84.42K","0.53%"
"Mar 01, 2018","43,510.39","43,259.45","43,634.10","43,176.04","79.83K","0.63%"
"Feb 28, 2018","43,239.44","43,022.00","43,323.18","43,016.54","50.02K","0.57%"
"Feb 27, 2018","42,994.96","42,900.85","43,116.82","42,606.88","64.53K","0.20%"
"Feb 26, 2018","42,911.02","43,443.68","43,490.69","42,804.50","55.13K","-0.82%"
"Feb 23, 2018","43,267.20","43,746.75","43,797.11","43,014.03","96.11K","-0.60%"
"Feb 22, 2018","43,528.51","42,701.29","43,627.86","42,384.18","67.53K","1.42%"
"Feb 21, 2018","42,919.78","43,509.98","43,623.59","42,834.21","78.21K","-0.87%"
"Feb 20, 2018","43,294.95","43,587.98","43,588.77","42,864.82","68.89K","-0.64%"
"Feb 19, 2018","43,572.67","43,753.08","43,945.62","43,512.09","39.23K","-0.12%"
"Feb 16, 2018","43,627.10","42,916.87","43,691.28","42,916.87","63.84K","1.59%"
"Feb 15, 2018","42,942.35","43,377.08","43,451.31","42,859.85","83.85K","-0.95%"
"Feb 14, 2018","43,353.04","43,675.68","43,781.77","43,215.72","77.84K","-0.77%"
"Feb 13, 2018","43,690.36","43,582.09","43,878.33","43,548.81","61.85K","0.40%"
"Feb 12, 2018","43,515.08","43,795.20","43,900.20","43,461.25","65.91K","-0.67%"
"Feb 09, 2018","43,808.80","43,533.11","43,826.60","43,286.24","80.14K","0.30%"
"Feb 08, 2018","43,679.87","44,079.12","44,151.54","43,629.82","96.62K","-0.94%"
"Feb 07, 2018","44,096.49","44,039.51","44,299.87","44,034.24","108.92K","0.48%"
"Feb 06, 2018","43,885.51","43,965.88","43,965.88","43,498.24","83.38K","-0.94%"
"Feb 02, 2018","44,301.20","44,341.88","44,637.02","44,252.88","93.17K","0.10%"
"Feb 01, 2018","44,255.48","44,103.07","44,436.39","44,103.07","70.70K","0.47%"
"Jan 31, 2018","44,049.05","44,252.94","44,533.76","43,996.42","80.16K","-0.42%"
"Jan 30, 2018","44,233.11","44,492.11","44,615.10","44,081.23","71.90K","-0.50%"
"Jan 29, 2018","44,457.30","44,724.44","44,855.77","44,337.72","87.13K","-0.21%"
"Jan 26, 2018","44,551.13","44,825.78","44,825.78","44,196.57","131.05K","-0.59%"
